Virus Strain,Vaccine Element,HLA,Immunogenicity Score,Binding,Error Rate
Zika Virus,vaccine_element_57,HLA-B*09,0.45,1772.0,0.17
Zika Virus,vaccine_element_57,HLA-B*89,0.99,1472.0,0.46
Zika Virus,vaccine_element_57,HLA-A*45,0.66,992.0,0.23
Zika Virus,vaccine_element_57,HLA-A*58,0.93,1646.0,0.2
Zika Virus,vaccine_element_57,HLA-A*81,0.75,1395.0,0.48
Zika Virus,vaccine_element_57,HLA-A*27,0.52,666.0,0.46
Zika Virus,vaccine_element_57,HLA-B*50,0.88,1983.0,0.26
Zika Virus,vaccine_element_57,HLA-A*95,0.83,923.0,0.53
Zika Virus,vaccine_element_57,HLA-B*81,0.49,991.0,0.32
Zika Virus,vaccine_element_57,HLA-B*29,0.49,1541.0,0.23
Zika Virus,vaccine_element_57,HLA-B*51,0.5,995.0,0.64
Zika Virus,vaccine_element_57,HLA-A*44,0.61,1513.0,0.04
Zika Virus,vaccine_element_57,HLA-B*82,0.87,831.0,0.08
Zika Virus,vaccine_element_57,HLA-B*72,0.72,999.0,0.44
Zika Virus,vaccine_element_57,HLA-B*52,0.61,773.0,0.27
Zika Virus,vaccine_element_57,HLA-A*54,0.82,308.0,0.57
Zika Virus,vaccine_element_57,HLA-B*60,0.66,1627.0,0.42
Zika Virus,vaccine_element_57,HLA-B*93,0.43,374.0,0.12
Zika Virus,vaccine_element_57,HLA-B*32,0.64,1924.0,0.64
Zika Virus,vaccine_element_57,HLA-A*12,0.39,1675.0,0.6
Zika Virus,vaccine_element_57,HLA-B*54,0.77,814.0,0.58
Zika Virus,vaccine_element_58,HLA-B*40,0.72,806.0,0.65
Zika Virus,vaccine_element_58,HLA-B*49,0.74,1484.0,0.51
Zika Virus,vaccine_element_58,HLA-B*18,0.46,691.0,0.46
Zika Virus,vaccine_element_58,HLA-A*19,0.66,526.0,0.5
Zika Virus,vaccine_element_58,HLA-A*40,0.67,1839.0,0.31
Zika Virus,vaccine_element_58,HLA-B*33,0.94,846.0,0.18
Zika Virus,vaccine_element_58,HLA-A*26,0.44,1622.0,0.23
Zika Virus,vaccine_element_58,HLA-B*12,0.53,1518.0,0.13
Zika Virus,vaccine_element_58,HLA-B*97,0.83,1250.0,0.54
Zika Virus,vaccine_element_58,HLA-B*09,0.73,1208.0,0.3
Zika Virus,vaccine_element_58,HLA-B*89,0.96,1836.0,0.66
Zika Virus,vaccine_element_58,HLA-A*45,0.91,525.0,0.36
Zika Virus,vaccine_element_58,HLA-A*58,0.67,462.0,0.31
Zika Virus,vaccine_element_58,HLA-A*81,0.77,706.0,0.24
Zika Virus,vaccine_element_58,HLA-A*27,0.81,623.0,0.57
Zika Virus,vaccine_element_58,HLA-B*50,0.98,586.0,0.06
Zika Virus,vaccine_element_58,HLA-A*95,0.93,1985.0,0.41
Zika Virus,vaccine_element_58,HLA-B*81,0.35,1209.0,0.39
Zika Virus,vaccine_element_58,HLA-B*29,0.85,416.0,0.53
Zika Virus,vaccine_element_58,HLA-B*51,0.86,999.0,0.57
Zika Virus,vaccine_element_58,HLA-A*44,0.76,1115.0,0.38
Zika Virus,vaccine_element_58,HLA-B*82,0.88,1542.0,0.06
Zika Virus,vaccine_element_58,HLA-B*72,0.65,350.0,0.37
Zika Virus,vaccine_element_58,HLA-B*52,0.56,1935.0,0.63
Zika Virus,vaccine_element_58,HLA-A*54,0.88,642.0,0.29
Zika Virus,vaccine_element_58,HLA-B*60,0.94,718.0,0.15
Zika Virus,vaccine_element_58,HLA-B*93,0.92,867.0,0.3
Zika Virus,vaccine_element_58,HLA-B*32,0.42,475.0,0.23
Zika Virus,vaccine_element_58,HLA-A*12,0.95,948.0,0.09
Zika Virus,vaccine_element_58,HLA-B*54,0.33,783.0,0.36
Zika Virus,vaccine_element_59,HLA-B*40,0.65,589.0,0.08
Zika Virus,vaccine_element_59,HLA-B*49,0.62,781.0,0.4
Zika Virus,vaccine_element_59,HLA-B*18,0.94,547.0,0.13
Zika Virus,vaccine_element_59,HLA-A*19,0.35,1931.0,0.43
Zika Virus,vaccine_element_59,HLA-A*40,0.61,2000.0,0.33
Zika Virus,vaccine_element_59,HLA-B*33,0.37,367.0,0.1
Zika Virus,vaccine_element_59,HLA-A*26,0.86,1416.0,0.53
Zika Virus,vaccine_element_59,HLA-B*12,0.33,886.0,0.21
Zika Virus,vaccine_element_59,HLA-B*97,0.43,400.0,0.48
Zika Virus,vaccine_element_59,HLA-B*09,0.67,1550.0,0.09
Zika Virus,vaccine_element_59,HLA-B*89,0.86,701.0,0.28
Zika Virus,vaccine_element_59,HLA-A*45,0.48,1572.0,0.39
Zika Virus,vaccine_element_59,HLA-A*58,0.71,605.0,0.22
Zika Virus,vaccine_element_59,HLA-A*81,0.43,438.0,0.63
Zika Virus,vaccine_element_59,HLA-A*27,0.76,1827.0,0.21
Zika Virus,vaccine_element_59,HLA-B*50,0.6,1529.0,0.56
Zika Virus,vaccine_element_59,HLA-A*95,0.36,872.0,0.66
Zika Virus,vaccine_element_59,HLA-B*81,0.73,1937.0,0.66
Zika Virus,vaccine_element_59,HLA-B*29,0.97,1130.0,0.26
Zika Virus,vaccine_element_59,HLA-B*51,0.77,1300.0,0.14
Zika Virus,vaccine_element_59,HLA-A*44,0.5,1465.0,0.44
Zika Virus,vaccine_element_59,HLA-B*82,0.7,1928.0,0.21
Zika Virus,vaccine_element_59,HLA-B*72,0.9,1731.0,0.34
Zika Virus,vaccine_element_59,HLA-B*52,0.38,631.0,0.22
Zika Virus,vaccine_element_59,HLA-A*54,0.6,899.0,0.03
Zika Virus,vaccine_element_59,HLA-B*60,0.88,844.0,0.52
Zika Virus,vaccine_element_59,HLA-B*93,0.71,1733.0,0.13
Zika Virus,vaccine_element_59,HLA-B*32,0.71,1902.0,0.42
Zika Virus,vaccine_element_59,HLA-A*12,0.9,1893.0,0.36
Zika Virus,vaccine_element_59,HLA-B*54,0.46,1778.0,0.47
Zika Virus,vaccine_element_60,HLA-B*40,0.63,1970.0,0.3
Zika Virus,vaccine_element_60,HLA-B*49,0.72,1637.0,0.33
Zika Virus,vaccine_element_60,HLA-B*18,0.6,1770.0,0.57
Zika Virus,vaccine_element_60,HLA-A*19,0.64,1081.0,0.25
Zika Virus,vaccine_element_60,HLA-A*40,0.58,1098.0,0.18
Zika Virus,vaccine_element_60,HLA-B*33,0.48,900.0,0.32
Zika Virus,vaccine_element_60,HLA-A*26,0.83,955.0,0.23
Zika Virus,vaccine_element_60,HLA-B*12,0.56,1318.0,0.26
Zika Virus,vaccine_element_60,HLA-B*97,0.8,655.0,0.17
Zika Virus,vaccine_element_60,HLA-B*09,0.82,643.0,0.1
Zika Virus,vaccine_element_60,HLA-B*89,0.98,1438.0,0.09
Zika Virus,vaccine_element_60,HLA-A*45,0.51,1620.0,0.37
Zika Virus,vaccine_element_60,HLA-A*58,0.71,1056.0,0.43
Zika Virus,vaccine_element_60,HLA-A*81,0.99,746.0,0.09
Zika Virus,vaccine_element_60,HLA-A*27,0.79,557.0,0.26
Zika Virus,vaccine_element_60,HLA-B*50,0.55,1051.0,0.5
Zika Virus,vaccine_element_60,HLA-A*95,0.59,956.0,0.33
Zika Virus,vaccine_element_60,HLA-B*81,0.79,1106.0,0.07
Zika Virus,vaccine_element_60,HLA-B*29,0.94,322.0,0.65
Zika Virus,vaccine_element_60,HLA-B*51,0.45,473.0,0.44
Zika Virus,vaccine_element_60,HLA-A*44,0.88,1913.0,0.61
Zika Virus,vaccine_element_60,HLA-B*82,0.74,689.0,0.04
Zika Virus,vaccine_element_60,HLA-B*72,0.86,833.0,0.54
Zika Virus,vaccine_element_60,HLA-B*52,0.99,1037.0,0.34
Zika Virus,vaccine_element_60,HLA-A*54,0.73,473.0,0.44
Zika Virus,vaccine_element_60,HLA-B*60,0.51,1456.0,0.23
Zika Virus,vaccine_element_60,HLA-B*93,0.71,1626.0,0.32
Zika Virus,vaccine_element_60,HLA-B*32,0.97,1681.0,0.15
Zika Virus,vaccine_element_60,HLA-A*12,0.77,1497.0,0.14
Zika Virus,vaccine_element_60,HLA-B*54,0.5,1411.0,0.55
Zika Virus,vaccine_element_61,HLA-B*40,0.44,886.0,0.13
Zika Virus,vaccine_element_61,HLA-B*49,0.45,1085.0,0.16
Zika Virus,vaccine_element_61,HLA-B*18,0.86,1974.0,0.33
Zika Virus,vaccine_element_61,HLA-A*19,0.79,1256.0,0.14
Zika Virus,vaccine_element_61,HLA-A*40,0.69,425.0,0.26
Zika Virus,vaccine_element_61,HLA-B*33,0.44,1887.0,0.47
Zika Virus,vaccine_element_61,HLA-A*26,0.83,1588.0,0.18
Zika Virus,vaccine_element_61,HLA-B*12,0.76,1518.0,0.07
Zika Virus,vaccine_element_61,HLA-B*97,0.53,1861.0,0.06
Zika Virus,vaccine_element_61,HLA-B*09,0.55,1318.0,0.12
Zika Virus,vaccine_element_61,HLA-B*89,0.69,549.0,0.16
Zika Virus,vaccine_element_61,HLA-A*45,0.66,949.0,0.42
Zika Virus,vaccine_element_61,HLA-A*58,0.37,1748.0,0.18
Zika Virus,vaccine_element_61,HLA-A*81,0.8,1641.0,0.27
Zika Virus,vaccine_element_61,HLA-A*27,0.52,838.0,0.08
Zika Virus,vaccine_element_61,HLA-B*50,0.63,627.0,0.16
Zika Virus,vaccine_element_61,HLA-A*95,0.99,1480.0,0.47
Zika Virus,vaccine_element_61,HLA-B*81,0.78,628.0,0.54
Zika Virus,vaccine_element_61,HLA-B*29,0.47,943.0,0.6
Zika Virus,vaccine_element_61,HLA-B*51,0.71,724.0,0.36
Zika Virus,vaccine_element_61,HLA-A*44,0.8,1336.0,0.47
Zika Virus,vaccine_element_61,HLA-B*82,0.77,1056.0,0.12
Zika Virus,vaccine_element_61,HLA-B*72,0.73,508.0,0.54
Zika Virus,vaccine_element_61,HLA-B*52,0.44,796.0,0.11
Zika Virus,vaccine_element_61,HLA-A*54,0.92,1442.0,0.22
Zika Virus,vaccine_element_61,HLA-B*60,0.49,928.0,0.43
Zika Virus,vaccine_element_61,HLA-B*93,0.82,1405.0,0.52
Zika Virus,vaccine_element_61,HLA-B*32,0.45,788.0,0.09
Zika Virus,vaccine_element_61,HLA-A*12,0.92,1655.0,0.41
Zika Virus,vaccine_element_61,HLA-B*54,0.47,750.0,0.47
Zika Virus,vaccine_element_62,HLA-B*40,0.95,677.0,0.09
Zika Virus,vaccine_element_62,HLA-B*49,0.84,358.0,0.49
Zika Virus,vaccine_element_62,HLA-B*18,0.6,1257.0,0.38
Zika Virus,vaccine_element_62,HLA-A*19,0.6,1871.0,0.26
Zika Virus,vaccine_element_62,HLA-A*40,0.75,1007.0,0.33
Zika Virus,vaccine_element_62,HLA-B*33,0.67,1858.0,0.34
Zika Virus,vaccine_element_62,HLA-A*26,0.55,512.0,0.59
Zika Virus,vaccine_element_62,HLA-B*12,0.51,1018.0,0.54
Zika Virus,vaccine_element_62,HLA-B*97,0.87,665.0,0.17
Zika Virus,vaccine_element_62,HLA-B*09,0.47,631.0,0.1
Zika Virus,vaccine_element_62,HLA-B*89,0.73,1988.0,0.45
Zika Virus,vaccine_element_62,HLA-A*45,0.67,1323.0,0.36
Zika Virus,vaccine_element_62,HLA-A*58,0.98,1809.0,0.43
Zika Virus,vaccine_element_62,HLA-A*81,0.97,866.0,0.16
Zika Virus,vaccine_element_62,HLA-A*27,0.64,1206.0,0.1
Zika Virus,vaccine_element_62,HLA-B*50,0.54,719.0,0.42
Zika Virus,vaccine_element_62,HLA-A*95,0.34,1770.0,0.23
Zika Virus,vaccine_element_62,HLA-B*81,0.85,438.0,0.49
Zika Virus,vaccine_element_62,HLA-B*29,0.6,838.0,0.45
Zika Virus,vaccine_element_62,HLA-B*51,0.47,1879.0,0.55
Zika Virus,vaccine_element_62,HLA-A*44,0.82,1157.0,0.55
Zika Virus,vaccine_element_62,HLA-B*82,0.71,380.0,0.54
Zika Virus,vaccine_element_62,HLA-B*72,0.82,724.0,0.06
Zika Virus,vaccine_element_62,HLA-B*52,0.95,447.0,0.24
Zika Virus,vaccine_element_62,HLA-A*54,0.95,1075.0,0.15
Zika Virus,vaccine_element_62,HLA-B*60,0.88,1917.0,0.41
Zika Virus,vaccine_element_62,HLA-B*93,0.33,1155.0,0.38
Zika Virus,vaccine_element_62,HLA-B*32,0.91,1055.0,0.18
Zika Virus,vaccine_element_62,HLA-A*12,0.51,1465.0,0.67
Zika Virus,vaccine_element_62,HLA-B*54,0.36,1471.0,0.4
Zika Virus,vaccine_element_63,HLA-B*40,0.83,1592.0,0.48
Zika Virus,vaccine_element_63,HLA-B*49,0.91,591.0,0.66
Zika Virus,vaccine_element_63,HLA-B*18,0.37,1451.0,0.44
Zika Virus,vaccine_element_63,HLA-A*19,0.86,941.0,0.46
Zika Virus,vaccine_element_63,HLA-A*40,0.42,551.0,0.63
Zika Virus,vaccine_element_63,HLA-B*33,0.5,611.0,0.25
Zika Virus,vaccine_element_63,HLA-A*26,0.56,1889.0,0.34
Zika Virus,vaccine_element_63,HLA-B*12,0.96,829.0,0.15
Zika Virus,vaccine_element_63,HLA-B*97,0.51,1009.0,0.46
Zika Virus,vaccine_element_63,HLA-B*09,0.84,1075.0,0.63
Zika Virus,vaccine_element_63,HLA-B*89,0.43,1545.0,0.37
Zika Virus,vaccine_element_63,HLA-A*45,0.45,610.0,0.62
Zika Virus,vaccine_element_63,HLA-A*58,0.32,1704.0,0.59
Zika Virus,vaccine_element_63,HLA-A*81,0.85,1453.0,0.25
Zika Virus,vaccine_element_63,HLA-A*27,0.58,935.0,0.14
Zika Virus,vaccine_element_63,HLA-B*50,0.99,1663.0,0.49
Zika Virus,vaccine_element_63,HLA-A*95,0.87,1366.0,0.27
Zika Virus,vaccine_element_63,HLA-B*81,0.97,734.0,0.1
Zika Virus,vaccine_element_63,HLA-B*29,0.79,544.0,0.45
Zika Virus,vaccine_element_63,HLA-B*51,0.34,1622.0,0.28
Zika Virus,vaccine_element_63,HLA-A*44,0.81,1030.0,0.33
Zika Virus,vaccine_element_63,HLA-B*82,0.65,1668.0,0.13
Zika Virus,vaccine_element_63,HLA-B*72,0.65,1981.0,0.15
Zika Virus,vaccine_element_63,HLA-B*52,0.66,805.0,0.23
Zika Virus,vaccine_element_63,HLA-A*54,0.87,687.0,0.17
Zika Virus,vaccine_element_63,HLA-B*60,0.78,1950.0,0.47
Zika Virus,vaccine_element_63,HLA-B*93,0.32,723.0,0.41
Zika Virus,vaccine_element_63,HLA-B*32,0.75,1886.0,0.58
Zika Virus,vaccine_element_63,HLA-A*12,0.79,1344.0,0.23
Zika Virus,vaccine_element_63,HLA-B*54,0.41,921.0,0.48
Zika Virus,vaccine_element_64,HLA-B*40,0.92,1241.0,0.07
Zika Virus,vaccine_element_64,HLA-B*49,0.65,1237.0,0.63
Zika Virus,vaccine_element_64,HLA-B*18,0.74,1273.0,0.42
Zika Virus,vaccine_element_64,HLA-A*19,0.98,965.0,0.28
Zika Virus,vaccine_element_64,HLA-A*40,0.76,1567.0,0.47
Zika Virus,vaccine_element_64,HLA-B*33,0.67,505.0,0.09
Zika Virus,vaccine_element_64,HLA-A*26,0.76,1029.0,0.13
Zika Virus,vaccine_element_64,HLA-B*12,0.6,338.0,0.31
Zika Virus,vaccine_element_64,HLA-B*97,0.95,876.0,0.5
Zika Virus,vaccine_element_64,HLA-B*09,0.79,1352.0,0.22
Zika Virus,vaccine_element_64,HLA-B*89,0.84,1438.0,0.6
Zika Virus,vaccine_element_64,HLA-A*45,0.73,1943.0,0.22
Zika Virus,vaccine_element_64,HLA-A*58,0.96,778.0,0.57
Zika Virus,vaccine_element_64,HLA-A*81,0.85,1374.0,0.2
Zika Virus,vaccine_element_64,HLA-A*27,0.45,311.0,0.54
Zika Virus,vaccine_element_64,HLA-B*50,0.57,1660.0,0.23
Zika Virus,vaccine_element_64,HLA-A*95,0.93,818.0,0.21
Zika Virus,vaccine_element_64,HLA-B*81,0.77,1291.0,0.09
Zika Virus,vaccine_element_64,HLA-B*29,0.51,1531.0,0.32
Zika Virus,vaccine_element_64,HLA-B*51,0.67,1187.0,0.56
Zika Virus,vaccine_element_64,HLA-A*44,0.95,309.0,0.34
Zika Virus,vaccine_element_64,HLA-B*82,0.52,1745.0,0.45
Zika Virus,vaccine_element_64,HLA-B*72,0.52,671.0,0.17
Zika Virus,vaccine_element_64,HLA-B*52,0.9,1456.0,0.4
Zika Virus,vaccine_element_64,HLA-A*54,0.59,1551.0,0.35
Zika Virus,vaccine_element_64,HLA-B*60,0.84,761.0,0.05
Zika Virus,vaccine_element_64,HLA-B*93,0.98,1302.0,0.37
Zika Virus,vaccine_element_64,HLA-B*32,0.39,452.0,0.23
Zika Virus,vaccine_element_64,HLA-A*12,0.59,679.0,0.48
Zika Virus,vaccine_element_64,HLA-B*54,0.55,1709.0,0.64
Zika Virus,vaccine_element_65,HLA-B*40,0.7,1567.0,0.43
Zika Virus,vaccine_element_65,HLA-B*49,0.32,1531.0,0.36
Zika Virus,vaccine_element_65,HLA-B*18,0.81,650.0,0.06
Zika Virus,vaccine_element_65,HLA-A*19,0.98,334.0,0.27
Zika Virus,vaccine_element_65,HLA-A*40,0.77,356.0,0.39
Zika Virus,vaccine_element_65,HLA-B*33,0.9,528.0,0.53
Zika Virus,vaccine_element_65,HLA-A*26,0.61,700.0,0.29
Zika Virus,vaccine_element_65,HLA-B*12,0.76,1128.0,0.6
Zika Virus,vaccine_element_65,HLA-B*97,0.53,508.0,0.07
Zika Virus,vaccine_element_65,HLA-B*09,0.35,643.0,0.06
Zika Virus,vaccine_element_65,HLA-B*89,0.58,365.0,0.06
Zika Virus,vaccine_element_65,HLA-A*45,0.38,1862.0,0.27
Zika Virus,vaccine_element_65,HLA-A*58,0.45,1945.0,0.16
Zika Virus,vaccine_element_65,HLA-A*81,0.98,1331.0,0.29
Zika Virus,vaccine_element_65,HLA-A*27,0.87,1597.0,0.54
Zika Virus,vaccine_element_65,HLA-B*50,0.58,1509.0,0.44
Zika Virus,vaccine_element_65,HLA-A*95,0.82,1660.0,0.18
Zika Virus,vaccine_element_65,HLA-B*81,0.85,1288.0,0.26
Zika Virus,vaccine_element_65,HLA-B*29,0.71,1904.0,0.37
Zika Virus,vaccine_element_65,HLA-B*51,0.39,851.0,0.15
Zika Virus,vaccine_element_65,HLA-A*44,0.63,1223.0,0.27
Zika Virus,vaccine_element_65,HLA-B*82,0.65,897.0,0.46
Zika Virus,vaccine_element_65,HLA-B*72,0.37,1084.0,0.24
Zika Virus,vaccine_element_65,HLA-B*52,0.73,1069.0,0.43
Zika Virus,vaccine_element_65,HLA-A*54,0.72,1339.0,0.38
Zika Virus,vaccine_element_65,HLA-B*60,0.83,620.0,0.47
Zika Virus,vaccine_element_65,HLA-B*93,0.6,487.0,0.34
Zika Virus,vaccine_element_65,HLA-B*32,0.76,512.0,0.2
Zika Virus,vaccine_element_65,HLA-A*12,0.54,884.0,0.49
Zika Virus,vaccine_element_65,HLA-B*54,0.76,1129.0,0.51
Zika Virus,vaccine_element_66,HLA-B*40,0.56,1518.0,0.48
Zika Virus,vaccine_element_66,HLA-B*49,0.92,1312.0,0.45
Zika Virus,vaccine_element_66,HLA-B*18,0.63,798.0,0.24
Zika Virus,vaccine_element_66,HLA-A*19,0.45,905.0,0.37
Zika Virus,vaccine_element_66,HLA-A*40,0.97,775.0,0.36
Zika Virus,vaccine_element_66,HLA-B*33,0.38,864.0,0.19
Zika Virus,vaccine_element_66,HLA-A*26,0.75,537.0,0.39
Zika Virus,vaccine_element_66,HLA-B*12,1.0,1810.0,0.16
Zika Virus,vaccine_element_66,HLA-B*97,0.56,1888.0,0.34
Zika Virus,vaccine_element_66,HLA-B*09,0.76,352.0,0.33
Zika Virus,vaccine_element_66,HLA-B*89,0.64,785.0,0.27
Zika Virus,vaccine_element_66,HLA-A*45,0.38,575.0,0.55
Zika Virus,vaccine_element_66,HLA-A*58,0.8,719.0,0.56
Zika Virus,vaccine_element_66,HLA-A*81,0.71,695.0,0.52
Zika Virus,vaccine_element_66,HLA-A*27,0.39,1812.0,0.35
Zika Virus,vaccine_element_66,HLA-B*50,0.92,454.0,0.35
Zika Virus,vaccine_element_66,HLA-A*95,0.67,826.0,0.51
Zika Virus,vaccine_element_66,HLA-B*81,0.82,1302.0,0.17
Zika Virus,vaccine_element_66,HLA-B*29,0.96,1236.0,0.57
Zika Virus,vaccine_element_66,HLA-B*51,0.33,625.0,0.04
Zika Virus,vaccine_element_66,HLA-A*44,0.38,1334.0,0.57
Zika Virus,vaccine_element_66,HLA-B*82,0.84,1967.0,0.56
Zika Virus,vaccine_element_66,HLA-B*72,0.67,1824.0,0.46
Zika Virus,vaccine_element_66,HLA-B*52,0.62,415.0,0.4
Zika Virus,vaccine_element_66,HLA-A*54,0.69,415.0,0.3
Zika Virus,vaccine_element_66,HLA-B*60,0.35,1910.0,0.37
Zika Virus,vaccine_element_66,HLA-B*93,0.63,1134.0,0.29
Zika Virus,vaccine_element_66,HLA-B*32,0.92,1842.0,0.48
Zika Virus,vaccine_element_66,HLA-A*12,0.87,948.0,0.1
Zika Virus,vaccine_element_66,HLA-B*54,0.84,722.0,0.67
Zika Virus,vaccine_element_67,HLA-B*40,0.96,887.0,0.06
Zika Virus,vaccine_element_67,HLA-B*49,0.55,616.0,0.2
Zika Virus,vaccine_element_67,HLA-B*18,0.65,1384.0,0.27
Zika Virus,vaccine_element_67,HLA-A*19,0.97,1378.0,0.65
Zika Virus,vaccine_element_67,HLA-A*40,0.76,1113.0,0.13
Zika Virus,vaccine_element_67,HLA-B*33,0.49,921.0,0.36
Zika Virus,vaccine_element_67,HLA-A*26,0.73,1342.0,0.65
Zika Virus,vaccine_element_67,HLA-B*12,0.95,1089.0,0.52
Zika Virus,vaccine_element_67,HLA-B*97,0.81,1367.0,0.56
Zika Virus,vaccine_element_67,HLA-B*09,0.94,925.0,0.24
Zika Virus,vaccine_element_67,HLA-B*89,0.89,1366.0,0.4
Zika Virus,vaccine_element_67,HLA-A*45,0.86,331.0,0.45
Zika Virus,vaccine_element_67,HLA-A*58,0.62,1753.0,0.32
Zika Virus,vaccine_element_67,HLA-A*81,0.8,1764.0,0.05
Zika Virus,vaccine_element_67,HLA-A*27,0.59,1329.0,0.34
Zika Virus,vaccine_element_67,HLA-B*50,0.38,1215.0,0.08
Zika Virus,vaccine_element_67,HLA-A*95,0.8,1732.0,0.24
Zika Virus,vaccine_element_67,HLA-B*81,0.99,1641.0,0.45
Zika Virus,vaccine_element_67,HLA-B*29,0.64,1440.0,0.27
Zika Virus,vaccine_element_67,HLA-B*51,0.96,429.0,0.19
Zika Virus,vaccine_element_67,HLA-A*44,0.71,1931.0,0.19
Zika Virus,vaccine_element_67,HLA-B*82,0.66,1392.0,0.56
Zika Virus,vaccine_element_67,HLA-B*72,0.33,1740.0,0.26
Zika Virus,vaccine_element_67,HLA-B*52,0.61,1615.0,0.6
Zika Virus,vaccine_element_67,HLA-A*54,0.53,407.0,0.34
Zika Virus,vaccine_element_67,HLA-B*60,0.53,1388.0,0.37
Zika Virus,vaccine_element_67,HLA-B*93,0.48,1610.0,0.15
Zika Virus,vaccine_element_67,HLA-B*32,0.76,331.0,0.04
Zika Virus,vaccine_element_67,HLA-A*12,0.41,565.0,0.57
Zika Virus,vaccine_element_67,HLA-B*54,0.73,520.0,0.65
Zika Virus,vaccine_element_68,HLA-B*40,0.43,1229.0,0.06
Zika Virus,vaccine_element_68,HLA-B*49,0.84,1137.0,0.21
Zika Virus,vaccine_element_68,HLA-B*18,0.71,1529.0,0.05
Zika Virus,vaccine_element_68,HLA-A*19,0.82,557.0,0.58
Zika Virus,vaccine_element_68,HLA-A*40,0.83,1222.0,0.27
Zika Virus,vaccine_element_68,HLA-B*33,0.67,1872.0,0.08
Zika Virus,vaccine_element_68,HLA-A*26,0.86,1467.0,0.37
Zika Virus,vaccine_element_68,HLA-B*12,0.87,1475.0,0.56
Zika Virus,vaccine_element_68,HLA-B*97,0.86,1323.0,0.48
Zika Virus,vaccine_element_68,HLA-B*09,0.97,870.0,0.12
Zika Virus,vaccine_element_68,HLA-B*89,0.56,446.0,0.64
Zika Virus,vaccine_element_68,HLA-A*45,0.95,810.0,0.23
Zika Virus,vaccine_element_68,HLA-A*58,0.38,1166.0,0.18
Zika Virus,vaccine_element_68,HLA-A*81,0.55,956.0,0.08
Zika Virus,vaccine_element_68,HLA-A*27,0.59,1123.0,0.45
Zika Virus,vaccine_element_68,HLA-B*50,0.98,1407.0,0.07
Zika Virus,vaccine_element_68,HLA-A*95,0.4,1449.0,0.31
Zika Virus,vaccine_element_68,HLA-B*81,0.89,1658.0,0.07
Zika Virus,vaccine_element_68,HLA-B*29,0.46,1982.0,0.07
Zika Virus,vaccine_element_68,HLA-B*51,0.9,1832.0,0.16
Zika Virus,vaccine_element_68,HLA-A*44,0.9,1935.0,0.13
Zika Virus,vaccine_element_68,HLA-B*82,0.87,360.0,0.62
Zika Virus,vaccine_element_68,HLA-B*72,0.39,812.0,0.18
Zika Virus,vaccine_element_68,HLA-B*52,0.63,882.0,0.2
Zika Virus,vaccine_element_68,HLA-A*54,0.92,1736.0,0.27
Zika Virus,vaccine_element_68,HLA-B*60,0.91,514.0,0.65
Zika Virus,vaccine_element_68,HLA-B*93,0.74,593.0,0.43
Zika Virus,vaccine_element_68,HLA-B*32,0.46,855.0,0.64
Zika Virus,vaccine_element_68,HLA-A*12,0.65,857.0,0.56
Zika Virus,vaccine_element_68,HLA-B*54,0.66,1307.0,0.53
Zika Virus,vaccine_element_69,HLA-B*40,1.0,1879.0,0.15
Zika Virus,vaccine_element_69,HLA-B*49,0.76,1067.0,0.2
Zika Virus,vaccine_element_69,HLA-B*18,0.55,1382.0,0.08
Zika Virus,vaccine_element_69,HLA-A*19,0.86,1716.0,0.24
Zika Virus,vaccine_element_69,HLA-A*40,0.62,1666.0,0.28
Zika Virus,vaccine_element_69,HLA-B*33,0.77,505.0,0.19
Zika Virus,vaccine_element_69,HLA-A*26,0.85,1755.0,0.5
Zika Virus,vaccine_element_69,HLA-B*12,0.88,1221.0,0.18
Zika Virus,vaccine_element_69,HLA-B*97,0.4,450.0,0.31
Zika Virus,vaccine_element_69,HLA-B*09,0.62,1169.0,0.35
Zika Virus,vaccine_element_69,HLA-B*89,0.87,1836.0,0.64
Zika Virus,vaccine_element_69,HLA-A*45,0.71,613.0,0.64
Zika Virus,vaccine_element_69,HLA-A*58,0.68,1896.0,0.07
Zika Virus,vaccine_element_69,HLA-A*81,0.88,1718.0,0.11
Zika Virus,vaccine_element_69,HLA-A*27,0.8,1810.0,0.66
Zika Virus,vaccine_element_69,HLA-B*50,0.63,921.0,0.2
Zika Virus,vaccine_element_69,HLA-A*95,0.44,840.0,0.41
Zika Virus,vaccine_element_69,HLA-B*81,0.75,813.0,0.21
Zika Virus,vaccine_element_69,HLA-B*29,0.87,1540.0,0.17
Zika Virus,vaccine_element_69,HLA-B*51,0.98,1437.0,0.48
Zika Virus,vaccine_element_69,HLA-A*44,0.8,1734.0,0.43
Zika Virus,vaccine_element_69,HLA-B*82,0.7,1283.0,0.06
Zika Virus,vaccine_element_69,HLA-B*72,0.59,904.0,0.3
Zika Virus,vaccine_element_69,HLA-B*52,0.48,599.0,0.5
Zika Virus,vaccine_element_69,HLA-A*54,0.9,414.0,0.15
Zika Virus,vaccine_element_69,HLA-B*60,0.99,740.0,0.53
Zika Virus,vaccine_element_69,HLA-B*93,0.67,346.0,0.61
Zika Virus,vaccine_element_69,HLA-B*32,0.37,1977.0,0.28
Zika Virus,vaccine_element_69,HLA-A*12,0.81,407.0,0.04
Zika Virus,vaccine_element_69,HLA-B*54,0.99,1104.0,0.05
